student_id,age,gender,state,district,urban_rural,education_level,course_type,annual_family_income,family_members,earning_members,monthly_expenses,family_debt,medical_expenses,education_expenses,number_of_dependents,has_house,has_vehicle,land_area,previous_percentage,current_percentage,attendance_percentage,academic_consistency,subject_strength,internet_access,has_laptop,has_smartphone,school_quality_score,coaching_access,library_access,electricity_reliability,distance_to_school,single_parent,orphan,disability,serious_family_illness,first_generation_learner,natural_disaster_affected,emergency_expenses,recently_lost_income,other_special_circumstances,per_capita_income,dependency_ratio,expense_income_ratio,debt_burden_score,opportunity_gap_score,financial_need_score,academic_potential_score,vulnerability_score,special_circumstances_score,academic_improvement,final_score,scholarship_eligible
STU0001,22,Male,Bihar,District_BIH_1,Rural,Undergraduate,Vocational,116000.0,4,1,10100.0,0.0,0,36100.0,3,0,0,1.81,87.81,89.52,80.02,0.93,Humanities,1,0,1,8,0,1,9.8,2.6,0,0,0,0,0,0,0,0,0,29000.0,3.0,1.3560344827586206,0.0,39.96,79.95,64.52,0.0,0.0,1.7099999999999937,52.1,1
STU0002,19,Male,Odisha,District_ODI_1,Urban,Undergraduate,STEM,94000.0,6,2,7300.0,0.0,0,21000.0,4,1,0,0.01,87.29,84.71,60.67,0.9,Commerce,1,1,0,4,0,1,18.7,6.0,0,0,0,0,0,0,0,0,0,15666.666666666666,2.0,1.1553191489361703,0.0,33.61,71.02,53.12,0.0,0.0,-2.5800000000000125,44.86,0
STU0003,23,Female,Uttar Pradesh,District_UTT_4,Rural,Undergraduate,STEM,141000.0,3,1,12800.0,142000.0,0,31700.0,2,0,0,1.03,64.49,70.9,62.74,0.74,Science,1,0,1,5,0,1,12.6,4.8,0,0,0,0,0,0,20000,0,0,47000.0,2.0,1.3141843971631206,1.0070921985815602,44.17,85.59,62.07,0.0,25.53,6.410000000000011,55.58,1
STU0004,20,Female,Odisha,District_ODI_3,Urban,Higher Secondary,Arts,153000.0,3,1,8100.0,0.0,0,52700.0,2,1,0,0.0,63.44,71.98,65.93,0.66,Humanities,1,1,1,5,1,1,19.9,3.7,0,0,0,0,1,0,0,0,0,51000.0,2.0,0.9797385620915032,0.0,10.69,67.18,60.6,15.0,0.0,8.540000000000006,43.05,0
STU0005,22,Female,West Bengal,District_WES_1,Urban,Postgraduate,Commerce,89000.0,4,2,7800.0,4000.0,0,30000.0,2,1,0,0.73,63.73,67.34,62.08,0.86,Humanities,1,0,0,3,0,0,20.5,2.2,0,0,0,1,0,0,0,0,0,22250.0,1.0,1.3887640449438203,0.0449438202247191,62.84,63.23,59.79,15.0,0.0,3.6100000000000065,51.9,1
STU0006,25,Male,Madhya Pradesh,District_MAD_2,Rural,Undergraduate,STEM,445000.0,6,2,37300.0,0.0,0,84400.0,4,1,1,0.14,86.51,87.9,75.23,0.94,Mathematics,1,1,1,8,1,0,9.2,9.7,0,0,0,0,0,0,0,0,0,74166.66666666667,2.0,1.195505617977528,0.0,23.05,45.88,60.43,0.0,0.0,1.3900000000000006,35.78,0
STU0007,18,Male,Uttar Pradesh,District_UTT_4,Urban,Diploma,STEM,181000.0,3,3,11400.0,0.0,0,24500.0,1,1,0,0.22,87.42,90.84,72.8,0.86,Languages,1,0,1,6,1,1,21.2,4.5,0,0,0,0,0,0,50000,0,0,60333.333333333336,0.3333333333333333,0.8911602209944751,0.0,28.97,50.15,64.89,0.0,45.0,3.4200000000000017,41.82,0
STU0008,22,Male,Tamil Nadu,District_TAM_1,Rural,Postgraduate,STEM,731000.0,7,1,66200.0,0.0,0,132600.0,6,0,1,0.71,64.84,69.09,84.22,0.83,Mathematics,0,1,1,4,0,1,11.9,4.9,0,0,0,0,1,0,20000,0,1,104428.57142857143,6.0,1.26812585499316,0.0,41.0,39.71,60.23,15.0,29.92,4.25,40.9,0
STU0009,23,Male,Bihar,District_BIH_5,Urban,Higher Secondary,Commerce,339000.0,4,2,21000.0,10000.0,0,36500.0,2,1,0,0.01,76.67,75.83,80.36,0.97,Commerce,1,1,1,9,0,1,21.3,1.4,0,0,0,0,1,1,0,0,0,84750.0,1.0,0.8510324483775811,0.029498525073746312,13.18,46.2,51.43,30.0,0.0,-0.8400000000000034,36.16,0
STU0010,20,Male,Assam,District_ASS_2,Semi-Urban,Undergraduate,STEM,186000.0,8,2,16200.0,194000.0,0,19600.0,6,0,0,0.13,56.25,51.94,82.65,0.83,Science,1,0,1,6,0,0,18.8,1.1,0,0,0,1,0,0,50000,0,0,23250.0,3.0,1.1505376344086022,1.043010752688172,48.61,91.76,41.52,15.0,45.0,-4.310000000000002,56.72,1
